City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,sault ste. marie,46.5168,-84.3333,-0.84,100,100,0.0,CA,1707012971
320,prince george,53.9166,-122.753,-3.54,62,0,1.03,CA,1707013075
321,domoni,-12.2569,44.5319,26.72,84,100,1.42,KM,1707013075
322,as sulayyil,20.4607,45.5779,10.14,31,0,4.47,SA,1707013075
323,san carlos,9.6612,-68.5827,28.56,57,100,1.47,VE,1707013075
324,midelt,32.6852,-4.7451,4.96,36,83,0.87,MA,1707013076
325,hun,29.1268,15.9477,9.59,73,19,1.68,LY,1707013076
326,weno,7.4515,151.8468,28.97,84,100,4.63,FM,1707013045
327,holbrook,40.8123,-73.0784,2.66,56,75,5.14,US,1707013076
328,morehead city,34.7229,-76.726,6.66,82,0,1.54,US,1707012948
329,yaren,-0.5472,166.916,28.8,77,100,7.01,NR,1707013076
330,vila velha,-20.3297,-40.2925,24.97,96,75,1.54,BR,1707013076
331,biltine,14.5333,20.9167,18.41,21,3,5.98,TD,1707013076
332,lijiang,26.8688,100.2207,2.77,63,19,1.75,CN,1707013076
333,chita,52.0333,113.55,-28.91,68,20,0.0,RU,1707013076
334,bardai,11.65,7.2333,16.58,19,0,5.99,NG,1707013077
335,callao,-12.0667,-77.15,27.07,78,75,4.63,PE,1707013077
336,papao,-17.75,-149.55,29.82,76,98,4.55,PF,1707012922
337,dwarka,22.2394,68.9678,22.66,79,2,2.19,IN,1707013077
338,khilok,51.3674,110.4676,-17.38,89,65,1.1,RU,1707013037
339,nova sintra,14.8667,-24.7167,21.54,69,100,3.88,CV,1707013077
340,kayangel,8.0823,134.7173,27.43,78,89,9.48,PW,1707013077
341,talata mafara,12.5732,6.0597,19.17,18,8,6.93,NG,1707013077
342,libertad,8.9442,125.5019,28.48,70,17,1.76,PH,1707013078
343,pangody,65.85,74.4859,-16.76,96,100,2.26,RU,1707013078
344,isangel,-19.55,169.2667,31.06,79,100,4.12,VU,1707013078
345,mirialguda,16.8667,79.5833,21.9,81,2,1.41,IN,1707013078
346,kudahuvadhoo,2.6708,72.8944,27.3,79,90,5.29,MV,1707013078
347,ratnagiri,16.9833,73.3,22.54,49,9,1.9,IN,1707012977
348,ghadamis,30.1337,9.5007,12.35,62,100,5.02,LY,1707013078
349,kill devil hills,36.0307,-75.676,6.1,77,0,2.06,US,1707013078
350,kaa-khem,51.6833,94.7333,-30.33,98,86,1.02,RU,1707013023
351,mundri,-6.9558,111.71,26.66,84,100,3.18,ID,1707013079
352,newberry,34.2746,-81.6187,7.77,86,63,2.79,US,1707013079
353,kerikeri,-35.2268,173.9474,23.69,40,0,3.16,NZ,1707013079
354,mokhsogollokh,61.4681,128.9203,-33.21,99,85,1.13,RU,1707013079
355,jamestown,42.097,-79.2353,-2.21,97,0,0.45,US,1707012913
356,romblon,12.5751,122.2708,26.66,76,19,8.11,PH,1707013079
357,galliano,29.4422,-90.2992,18.0,95,100,3.91,US,1707013079
358,lethem,3.3803,-59.7968,29.97,36,6,4.22,GY,1707013079
359,arawa,-6.2132,155.5367,32.13,64,35,1.31,PG,1707012796
360,flying fish cove,-10.4217,105.6791,28.82,74,100,3.09,CX,1707013080
361,knottsville,37.7717,-86.9042,8.88,66,89,5.55,US,1707013080
